idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f)
100,80.0,450,0,312.6528,98.8747,4.9993,1.1054,60.0001,67.6932,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4699,0.5754,79.89,10.05,10.05,0.46,0.6,80.95,True,True
101,80.0,450,20,254.0209,62.7609,1.6,3.3,60.0002,66.4545,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.1942,0.7868,79.91,12.27,2.72,0.13,0.34,89.94,True,False
102,80.0,450,20,317.0679,99.9945,4.9999,1.1,60.0006,74.6022,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4906,0.5651,79.89,12.29,12.29,0.48,0.27,80.63,True,True
103,80.0,450,40,255.6202,63.3793,1.6,3.3,60.0035,66.5453,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2017,0.7862,79.91,12.99,2.94,0.13,0.34,90.43,True,False
104,80.0,450,40,317.5619,64.3523,1.6,3.3,60.0002,68.7341,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4929,0.6496,79.89,16.13,3.79,0.17,0.44,92.83,True,True
105,80.0,450,60,257.2701,62.8569,1.6,3.3,60.0057,66.4797,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2095,0.7857,79.91,13.72,3.16,0.13,0.35,90.96,True,False
106,80.0,450,60,320.222,64.778,1.6,3.3,60.0025,68.7152,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5054,0.6489,79.89,17.08,4.07,0.17,0.44,93.51,True,True
107,80.0,450,80,258.9517,62.7032,1.6,3.2999,60.0012,66.5287,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2174,0.7851,79.91,14.47,3.38,0.14,0.35,91.49,True,False
108,80.0,450,80,322.9635,64.8738,1.6,3.3,60.0003,68.7546,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5183,0.6481,79.88,18.05,4.35,0.17,0.45,94.2,True,True
109,80.0,450,100,260.6921,63.3178,1.6,3.3,60.0003,66.5253,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2256,0.7846,79.91,15.24,3.6,0.14,0.35,92.04,True,False
