Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Stack Power (kW)
40.0,500,20,110.1742,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.5755,0.7339,39.93,0.5,40.43
40.0,500,40,110.4165,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.5768,0.7366,39.92,0.74,40.66
40.0,500,60,110.9568,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.5796,0.7374,39.93,0.98,40.91
40.0,500,80,112.4997,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.5877,0.7318,39.92,1.24,41.17
40.0,500,100,112.637,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.5884,0.7354,39.92,1.49,41.41
40.0,500,120,113.6008,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.5934,0.7337,39.92,1.75,41.68
45.0,400,0,155.8119,100.0,1.4,1.1,60.0,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6511,0.7256,44.92,0.3,45.23
45.0,400,20,156.6661,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6547,0.726,44.92,0.57,45.49
45.0,400,40,158.8364,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6638,0.7204,44.92,0.85,45.77
45.0,400,60,158.9309,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6642,0.7244,44.92,1.13,46.05
20.0,450,40,60.6312,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.285,0.7437,19.93,0.37,20.29
45.0,400,80,160.792,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6719,0.7205,44.92,1.42,46.34
45.0,400,100,159.8242,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6679,0.7291,44.92,1.69,46.61
45.0,400,120,162.9555,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.681,0.72,44.92,2.01,46.93
45.0,450,0,138.3401,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6504,0.7265,44.92,0.3,45.23
45.0,450,20,139.0708,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6538,0.7269,44.92,0.57,45.49
45.0,450,40,140.7924,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6619,0.7224,44.92,0.85,45.77
45.0,450,60,141.2808,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6642,0.7243,44.92,1.13,46.05
45.0,450,80,142.2837,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6689,0.7237,44.92,1.41,46.34
45.0,450,100,142.8444,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6715,0.7253,44.92,1.7,46.62
45.0,450,120,143.873,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6764,0.7247,44.92,2.0,46.92
20.0,450,60,60.6876,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2853,0.7474,19.93,0.48,20.41
45.0,500,0,123.3012,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6441,0.7336,44.93,0.3,45.22
45.0,500,20,124.1436,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6485,0.7329,44.93,0.57,45.49
45.0,500,40,124.942,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6526,0.7325,44.92,0.84,45.76
45.0,500,60,126.0794,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6586,0.7303,44.92,1.12,46.04
45.0,500,80,127.0355,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6636,0.7293,44.92,1.4,46.32
45.0,500,100,127.5203,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.6661,0.731,44.92,1.69,46.61
