Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Stack Power (kW)
62.3,400,120,235.1765,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.9828,0.6922,62.21,2.9,65.12
62.3,450,120,206.1858,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.9693,0.7014,62.22,2.87,65.08
62.3,500,120,184.3402,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.9629,0.7059,62.22,2.85,65.06
76.4,400,120,294.948,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.2326,0.6777,76.31,3.64,79.95
76.4,450,120,258.6847,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.2161,0.6864,76.31,3.59,79.91
76.4,500,120,232.1705,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.2128,0.6883,76.31,3.58,79.9
90.5,400,120,361.0628,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.5088,0.6568,90.4,4.46,94.86
90.5,450,120,311.6147,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.465,0.6756,90.41,4.33,94.74
90.5,500,120,277.2979,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.4485,0.683,90.41,4.28,94.69
104.5,400,120,423.6804,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.7705,0.6469,104.4,5.23,109.63
20.0,400,120,71.0933,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.2971,0.7315,19.92,0.88,20.8
104.5,450,120,366.4413,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.7227,0.664,104.4,5.09,109.5
104.5,500,120,329.9077,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.7233,0.6638,104.4,5.09,109.5
118.6,400,120,493.7909,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.0635,0.6308,118.49,6.1,124.59
118.6,450,120,431.1334,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.0269,0.6416,118.49,5.99,124.49
118.6,500,120,378.5818,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,1.9776,0.6569,118.5,5.85,124.35
132.7,400,120,572.0174,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.3904,0.6103,132.58,7.07,139.65
132.7,450,120,492.3298,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.3146,0.6294,132.59,6.84,139.43
132.7,500,120,430.7111,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.2499,0.6466,132.6,6.65,139.25
146.8,400,120,664.065,100.0,1.4,3.0,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.7751,0.6554,146.68,27.42,174.1
146.8,450,120,563.0924,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.6472,0.6098,146.68,7.83,154.51
20.0,450,120,62.8216,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.2953,0.7357,19.92,0.87,20.8
146.8,500,120,490.7776,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.5636,0.6287,146.69,7.58,154.27
160.9,400,120,700.0,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.9252,0.5771,152.93,8.65,161.58
160.9,450,120,630.6341,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.9648,0.5974,160.78,8.76,169.54
160.9,500,120,551.4046,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.8803,0.6141,160.79,8.51,169.3
175.0,400,120,700.0,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,2.9252,0.5851,155.19,8.65,163.84
175.0,450,120,700.0,100.0,1.4,3.0,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,3.2909,0.6558,174.05,32.51,206.57
175.0,500,120,620.1651,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,3.2395,0.5949,174.88,9.58,184.45
20.0,500,120,56.4319,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.2948,0.737,19.92,0.87,20.8
34.1,400,120,123.8673,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.5176,0.7175,34.02,1.53,35.55
34.1,450,120,108.9315,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.5121,0.7249,34.02,1.51,35.54
34.1,500,120,97.9806,100.0,1.4,1.1,60.0,75.0,50.0,100.0,1.4,1.1,60.0,75.0,700.0,100.0,1.4,3.0,60.0,75.0,0.5118,0.7253,34.02,1.51,35.53
