Case,Case Label,Current,Anode Stoichiometry set,Mass  Fraction H2 anode set,Relative Humidity anode inlet set,Temperature anode inlet set,Cathode Stoichiometry set,Relative Humidity cathode inlet set,Temperature cathode inlet set,Pressure (Absolute) cathode outlet set,Volumetric Flow Rate coolant set,Temperature coolant inlet set,Pressure (Absolute) coolant outlet set,factor pressure difference anode2 cathode,Average Pressure (Outlet); Part Cathode_inlet,Average Temperature (Outlet); Part Cathode_inlet,Relative Humidity (Outlet); Part Cathode_inlet,Average Mass Flow Rate (Outlet); Part Cathode_inlet,Total Gaseous Mass Fraction Average (Outlet); Part Cathode_inlet,Average Pressure (Outlet); Part Cathode_outlet,Average Temperature (Outlet); Part Cathode_outlet,Relative Humidity (Outlet); Part Cathode_outlet,Average Mass Flow Rate (Outlet); Part Cathode_outlet,Average Pressure (Outlet); Part An_inlet-1,Average Temperature (Outlet); Part An_inlet-1,Relative Humidity (Outlet); Part An_inlet-1,Average Mass Flow Rate (Outlet); Part An_inlet-1,Average Pressure (Outlet); Part An_outlet,Average Temperature (Outlet); Part An_outlet,Relative Humidity (Outlet); Part An_outlet,Average Mass Flow Rate (Outlet); Part An_outlet,Average Pressure (Outlet); Part Coolant_inlet,Average Temperature (Outlet); Part Coolant_inlet,Average Mass Flow Rate (Outlet); Part Coolant_inlet,Average Pressure (Outlet); Part Coolant_outlet,Average Temperature (Outlet); Part Coolant_outlet,Average Mass Flow Rate (Outlet); Part Coolant_outlet,m_dot_an; Part Anode_lambda,m_dot_cath; Part Cathode_lambda,H2 Anode out; Part RLTCreator-1,N2 Anode out; Part RLTCreator-1,H2Ovap Anode out; Part RLTCreator-1,H2Oliq Anode out; Part RLTCreator-1,O2 Cathode out; Part RLTCreator-1,N2 Cathode out; Part RLTCreator-1,H2Ovap Cathode out; Part RLTCreator-1,H2Oliq Cathode out; Part RLTCreator-1,H2 Anode in; Part RLTCreator-1,N2 Anode in; Part RLTCreator-1,H2Ovap Anode in; Part RLTCreator-1,H2Oliq Anode in; Part RLTCreator-1,O2 Cathode in; Part RLTCreator-1,N2 Cathode in; Part RLTCreator-1,H2Ovap Cathode in; Part RLTCreator-1,H2Oliq Cathode in; Part RLTCreator-1,Output 1; Part Gain-2-1,Output 1; Part Gain-3-1,Output 1; Part Gain-4-1,Output 1; Part Gain-5-1,Output 1; Part Gain-6-1,Output 1; Part Gain-7-1,Output 1; Part Gain-8-1,Output 1; Part Gain-9-1,Output 1; Part Gain-10-1,Output 1; Part Gain-11-1,Voltage; Part SubAssemblyExternal-1,Current; Part SubAssemblyExternal-1,Electrical Power; Part SubAssemblyExternal-1,Fuel Power; Part SubAssemblyExternal-1,Fuel Efficiency; Part SubAssemblyExternal-1,Voltage Loss - Activation; Part SubAssemblyExternal-1,Voltage Loss - Transport; Part SubAssemblyExternal-1,Voltage Loss - Ohmic; Part SubAssemblyExternal-1,Membrane Humidity; Part SubAssemblyExternal-1,Membrane Water Content Average; Part SubAssemblyExternal-1,Water_Content_Vol_1; Part SubAssemblyExternal-1,Water_Content_Vol_2; Part SubAssemblyExternal-1,Water_Content_Vol_3; Part SubAssemblyExternal-1,Water_Content_Vol_4; Part SubAssemblyExternal-1,Water_Content_Vol_5; Part SubAssemblyExternal-1,Mass Rate of Water Crossover (Anode); Part SubAssemblyExternal-1,Mass Rate of Nitrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Hydrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Oxygen Crossover; Part SubAssemblyExternal-1,Cathode Stoichiometric Ratio; Part SubAssemblyExternal-1,Anode Stoichiometric Ratio; Part SubAssemblyExternal-1,T_degC_Vol_1; Part SubAssemblyExternal-1,T_degC_Vol_2; Part SubAssemblyExternal-1,T_degC_Vol_3; Part SubAssemblyExternal-1,T_degC_Vol_4; Part SubAssemblyExternal-1,T_degC_Vol_5; Part SubAssemblyExternal-1
No Unit,No Unit,A,No Unit,fraction,fraction,C,No Unit,fraction,C,bar,L/min,C,bar,No Unit,bar,K,%,g/s,fraction,bar,K,%,g/s,bar,K,%,g/s,bar,K,%,g/s,bar,K,g/s,bar,K,g/s,g/s,g/s,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,V,A,kW,kW,fraction,V,V,V,%,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,g/s,g/s,g/s,g/s,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit
1,--,350.0,3.89062,0.977213,0.741943,78.1,2.08325,0.46618,56.6875,2.63709,0.437818,50.2802,1.21124,0.951188,2.8006847,329.83694,46.619118,120.176285,1.0,2.6371346,341.53745,64.94334,109.80788,2.8349488,351.2501,74.1941,16.702412,2.5084803,327.5069,99.99995,27.039068,1.9260896,323.4302,3985.1921,1.2112366,335.77414,3981.831,16.70242,120.17602,0.7175573,0.0017300138,0.04667705,0.2340356,0.112656556,0.8159239,0.071419485,0.0,0.8836767,0.0014793971,0.11484389,0.0,0.20448041,0.7670859,0.028433675,0.0,100.000015,100.0,100.00005,100.00002,100.00002,54.23137,54.16661,54.635834,56.97629,65.9861,275.5275,350.0,96.434616,200.43236,0.481606,59.59073,3.0647788,81.73661,60.60966,4.5896635,7.552292,4.413917,3.8446703,3.627526,3.4976635,11.988911,0.022338843,0.0062942095,0.008661118,2.0734367,4.4828424,54.723312,56.87797,59.877625,63.590233,68.416565
2,--,350.0,3.26274,0.82593,0.545199,60.4487,1.6399,0.865081,63.3145,1.8133,0.476932,80.1036,1.67983,0.819028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,--,350.0,3.59201,0.858481,0.396536,79.5702,3.95066,0.553842,76.1748,2.54722,0.458475,83.2322,2.68707,1.00985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,--,350.0,2.71962,0.826939,0.468381,58.749,3.82433,0.681474,64.3913,2.09486,0.470882,58.5265,1.49266,1.24038,2.6091437,337.53424,68.16888,227.23105,1.0,2.0962224,344.5345,64.51745,219.24255,2.749539,331.8989,46.838287,7.1943097,2.5984147,335.87213,99.99999,15.170787,2.2171037,331.6765,4169.514,1.492655,341.4882,4165.38,7.1943026,227.23051,0.70242774,0.016646242,0.06842094,0.21250506,0.14773244,0.750282,0.10198558,0.0,0.95361036,0.01432815,0.0320615,0.0,0.19706894,0.7392826,0.06364843,0.0,66.23488,94.93014,100.0,100.00001,100.00001,67.79282,62.941265,62.129818,71.885376,70.40013,303.34015,350.0,106.16905,200.6844,0.5287603,53.82115,2.7962787,57.49148,71.53374,6.6575017,6.334544,13.80825,5.5507426,3.9669132,3.6692693,9.602393,0.023536924,0.007938164,0.012291282,3.8249247,2.8355622,62.635418,64.01195,66.5251,70.216866,71.88996
5,--,350.0,2.79795,0.809006,0.92102,82.7896,1.79407,0.378032,67.6914,1.31822,0.479887,81.6266,1.72538,1.21839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,--,350.0,3.84774,0.782543,0.446,75.8796,1.95496,0.514438,54.4613,1.23901,0.4157,56.9162,1.0907,0.849639,1.5636541,327.60736,51.453045,114.78805,1.0,1.2394888,344.45374,66.78217,111.17641,1.3188958,349.0301,44.59929,13.35105,1.0529529,332.84714,100.00001,16.927147,1.729011,330.0662,3834.2312,1.0906934,341.197,3829.1206,13.351085,114.78699,0.6890686,0.020972269,0.16273622,0.12722288,0.09480856,0.727602,0.17758945,0.0,0.8477161,0.016912548,0.13537134,0.0,0.1998284,0.74963444,0.05053713,0.0,67.036995,85.34399,100.00003,100.0,100.0,47.422993,54.400322,73.815796,77.28176,72.066216,284.40363,350.0,99.54127,200.03098,0.49750388,68.14379,3.7713141,52.756767,75.57618,7.497801,5.7344155,9.531182,13.924396,4.78469,3.5394003,5.237723,0.013852555,0.0033098434,0.005786619,1.9557508,2.9208589,59.88202,63.0612,67.185,69.7423,71.64932
7,--,350.0,2.62203,0.861928,0.901644,83.2021,2.52702,0.85532,74.572,1.29272,0.462497,60.515,1.64606,1.01171,1.7942992,347.7105,85.57278,167.914,1.0,1.2943798,351.73755,59.73853,156.35834,1.5522801,356.35223,90.16406,16.26153,1.3089616,340.35623,100.00001,27.766987,2.33053,333.665,4113.1284,1.6460562,346.2855,4109.9795,16.261536,167.91304,0.3246534,0.008396512,0.08894512,0.57800496,0.11177271,0.68173736,0.20648989,0.0,0.67912686,0.0078105023,0.31306264,0.0,0.17242876,0.64684767,0.18072355,0.0,95.28695,100.00004,100.00007,100.000046,100.00003,90.77035,73.6589,61.093914,55.544415,67.42432,276.0806,350.0,96.62821,200.13481,0.4826236,58.465034,3.8203835,69.35339,57.798386,5.0821657,11.614647,3.7287745,3.3230364,3.2565136,3.4390323,13.191919,0.014846098,0.004093668,0.0064367717,2.5972025,1.8560064,67.92871,69.26067,72.02088,74.92686,79.36079
8,NaN,350.0,1.7666,0.983519,0.982013,67.6825,3.68956,0.545865,63.2362,1.99067,0.47741,55.1141,2.80439,0.925964,2.4816532,336.37943,54.60326,217.03395,1.0,1.9918947,343.41962,46.779274,206.64185,2.000206,340.8325,98.20132,6.7793345,1.8433535,333.08118,100.0,17.180943,3.5576024,328.2641,4218.002,2.8043883,338.6046,4216.5615,6.779334,217.0341,0.37811852,0.0015803997,0.04595029,0.57435083,0.15070789,0.77513456,0.07415752,0.0,0.86048985,0.0010352375,0.1384749,0.0,0.199756,0.7493628,0.050881207,0.0,100.00001,100.000015,100.00001,100.0,100.0,57.87403,51.387894,46.886047,45.47652,50.79139,256.68784,350.0,89.840744,200.18921,0.44882008,56.14758,2.4099934,100.52301,43.525387,3.4718616,5.347339,3.3358161,3.0095794,2.819958,2.8458488,12.039016,0.017318528,0.0043443735,0.008046359,3.6940572,1.6263936,60.313526,61.679474,64.10753,67.01796,70.82825
9,NaN,350.0,3.25999,0.964053,0.681526,70.089,3.98321,0.919249,68.8771,2.3919,0.439399,79.3712,2.60978,1.2958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
