Case,Case Label,Current,Anode Stoichiometry set,Mass  Fraction H2 anode set,Relative Humidity anode inlet set,Temperature anode inlet set,Cathode Stoichiometry set,Relative Humidity cathode inlet set,Temperature cathode inlet set,Pressure (Absolute) cathode outlet set,Volumetric Flow Rate coolant set,Temperature coolant inlet set,Pressure (Absolute) coolant outlet set,factor pressure difference anode2 cathode,Average Pressure (Outlet); Part Cathode_inlet,Average Temperature (Outlet); Part Cathode_inlet,Relative Humidity (Outlet); Part Cathode_inlet,Average Mass Flow Rate (Outlet); Part Cathode_inlet,Total Gaseous Mass Fraction Average (Outlet); Part Cathode_inlet,Average Pressure (Outlet); Part Cathode_outlet,Average Temperature (Outlet); Part Cathode_outlet,Relative Humidity (Outlet); Part Cathode_outlet,Average Mass Flow Rate (Outlet); Part Cathode_outlet,Average Pressure (Outlet); Part An_inlet-1,Average Temperature (Outlet); Part An_inlet-1,Relative Humidity (Outlet); Part An_inlet-1,Average Mass Flow Rate (Outlet); Part An_inlet-1,Average Pressure (Outlet); Part An_outlet,Average Temperature (Outlet); Part An_outlet,Relative Humidity (Outlet); Part An_outlet,Average Mass Flow Rate (Outlet); Part An_outlet,Average Pressure (Outlet); Part Coolant_inlet,Average Temperature (Outlet); Part Coolant_inlet,Average Mass Flow Rate (Outlet); Part Coolant_inlet,Average Pressure (Outlet); Part Coolant_outlet,Average Temperature (Outlet); Part Coolant_outlet,Average Mass Flow Rate (Outlet); Part Coolant_outlet,m_dot_an; Part Anode_lambda,m_dot_cath; Part Cathode_lambda,H2 Anode out; Part RLTCreator-1,N2 Anode out; Part RLTCreator-1,H2Ovap Anode out; Part RLTCreator-1,H2Oliq Anode out; Part RLTCreator-1,O2 Cathode out; Part RLTCreator-1,N2 Cathode out; Part RLTCreator-1,H2Ovap Cathode out; Part RLTCreator-1,H2Oliq Cathode out; Part RLTCreator-1,H2 Anode in; Part RLTCreator-1,N2 Anode in; Part RLTCreator-1,H2Ovap Anode in; Part RLTCreator-1,H2Oliq Anode in; Part RLTCreator-1,O2 Cathode in; Part RLTCreator-1,N2 Cathode in; Part RLTCreator-1,H2Ovap Cathode in; Part RLTCreator-1,H2Oliq Cathode in; Part RLTCreator-1,Output 1; Part Gain-2-1,Output 1; Part Gain-3-1,Output 1; Part Gain-4-1,Output 1; Part Gain-5-1,Output 1; Part Gain-6-1,Output 1; Part Gain-7-1,Output 1; Part Gain-8-1,Output 1; Part Gain-9-1,Output 1; Part Gain-10-1,Output 1; Part Gain-11-1,Voltage; Part SubAssemblyExternal-1,Current; Part SubAssemblyExternal-1,Electrical Power; Part SubAssemblyExternal-1,Fuel Power; Part SubAssemblyExternal-1,Fuel Efficiency; Part SubAssemblyExternal-1,Voltage Loss - Activation; Part SubAssemblyExternal-1,Voltage Loss - Transport; Part SubAssemblyExternal-1,Voltage Loss - Ohmic; Part SubAssemblyExternal-1,Membrane Humidity; Part SubAssemblyExternal-1,Membrane Water Content Average; Part SubAssemblyExternal-1,Water_Content_Vol_1; Part SubAssemblyExternal-1,Water_Content_Vol_2; Part SubAssemblyExternal-1,Water_Content_Vol_3; Part SubAssemblyExternal-1,Water_Content_Vol_4; Part SubAssemblyExternal-1,Water_Content_Vol_5; Part SubAssemblyExternal-1,Mass Rate of Water Crossover (Anode); Part SubAssemblyExternal-1,Mass Rate of Nitrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Hydrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Oxygen Crossover; Part SubAssemblyExternal-1,Cathode Stoichiometric Ratio; Part SubAssemblyExternal-1,Anode Stoichiometric Ratio; Part SubAssemblyExternal-1,T_degC_Vol_1; Part SubAssemblyExternal-1,T_degC_Vol_2; Part SubAssemblyExternal-1,T_degC_Vol_3; Part SubAssemblyExternal-1,T_degC_Vol_4; Part SubAssemblyExternal-1,T_degC_Vol_5; Part SubAssemblyExternal-1
No Unit,No Unit,A,No Unit,fraction,fraction,C,No Unit,fraction,C,bar,L/min,C,bar,No Unit,bar,K,%,g/s,fraction,bar,K,%,g/s,bar,K,%,g/s,bar,K,%,g/s,bar,K,g/s,bar,K,g/s,g/s,g/s,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,V,A,kW,kW,fraction,V,V,V,%,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,g/s,g/s,g/s,g/s,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit
1,--,50.0,3.89062,0.977213,0.741943,78.1,2.08325,0.46618,56.6875,2.63709,0.437818,50.2802,1.21124,0.951188,2.6529257,329.83728,46.618378,17.168045,1.0,2.63709,332.3259,53.088932,15.212285,2.5413353,351.25012,74.19403,2.3860586,2.5083683,324.9117,100.00001,4.27212,1.4286935,323.4302,1669.4727,1.2112342,332.98788,1664.7393,2.3860598,17.168003,0.66544515,0.0023689622,0.037881438,0.29430443,0.115209326,0.8464888,0.038301915,0.0,0.87042695,0.001457215,0.12811585,0.0,0.20414715,0.7658357,0.030017134,0.0,100.00001,100.0,100.0,100.0,100.0,36.974487,36.120472,37.315407,43.17186,52.63047,368.1374,50.0,18.40687,29.11239,0.63254505,35.81024,0.31707647,18.535162,38.77071,3.0874803,3.694084,3.1976597,2.968712,2.848933,2.7241368,2.1266663,0.014535087,0.004242506,0.006411609,2.0372565,4.0721145,51.682835,52.734493,54.25173,56.143078,58.663208
2,NaN,50.0,3.26274,0.82593,0.545199,60.4487,1.6399,0.865081,63.3145,1.8133,0.476932,80.1036,1.67983,0.819028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,50.0,3.59201,0.858481,0.396536,79.5702,3.95066,0.553842,76.1748,2.54722,0.458475,83.2322,2.68707,1.00985,2.5906928,349.3252,55.383514,33.753,1.0,2.547221,353.39896,90.76009,33.754066,2.5981047,352.72018,39.653614,1.7044146,2.57231,356.21738,62.32749,1.7652272,2.8428304,356.3822,1652.7972,2.6870754,349.62637,1660.4757,1.7044144,33.753143,0.8529961,0.01705922,0.12994465,0.0,0.13561794,0.6937262,0.17065588,2.3851296E-9,0.91801614,0.010864952,0.071118936,0.0,0.19222726,0.7211196,0.08665314,0.0,85.11728,93.6266,87.50073,75.38524,61.98356,56.61243,70.78659,84.09165,92.648254,89.54915,394.70023,50.0,19.735012,30.02281,0.65736544,10.617356,0.2455651,6.3519325,81.1581,8.128797,9.092553,11.526294,9.197977,6.1430645,4.2505364,0.24907674,0.03473746,0.010056784,0.020509603,3.7383106,3.6323433,83.03949,83.1778,82.72108,81.86697,80.659874
4,--,50.0,2.71962,0.826939,0.468381,58.749,3.82433,0.681474,64.3913,2.09486,0.470882,58.5265,1.49266,1.24038,2.1402462,337.54132,68.147385,32.461483,1.0,2.0948606,343.17883,94.44014,31.71361,2.615331,331.899,46.8381,1.0277576,2.598422,337.51096,100.0,1.651736,1.6810924,331.6765,1690.6287,1.492653,340.35526,1686.1204,1.0277575,32.461502,0.7602597,0.020931117,0.079900935,0.13890827,0.13938297,0.72010964,0.1405074,2.669464E-18,0.9519908,0.014303816,0.03370538,0.0,0.1941345,0.7282744,0.07759108,0.0,93.380844,99.34083,95.891464,81.703354,100.0,55.19178,75.08984,90.18436,100.0,95.11881,384.70154,50.0,19.235077,29.759548,0.64662004,25.775627,0.42251053,6.6816335,83.70494,9.736779,11.867398,13.892438,12.111633,7.494571,3.34459,0.88481313,0.021315014,0.008670064,0.014095151,3.649827,2.6926837,62.986847,64.83344,66.87552,68.52593,69.848274
5,--,50.0,2.79795,0.809006,0.92102,82.7896,1.79407,0.378032,67.6914,1.31822,0.479887,81.6266,1.72538,1.21839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,--,50.0,3.84774,0.782543,0.446,75.8796,1.95496,0.514438,54.4613,1.23901,0.4157,56.9162,1.0907,0.849639,1.2737801,327.6456,51.378906,16.398949,1.0,1.2390015,335.16583,88.36649,16.20315,1.0965309,348.99637,44.64746,1.9074708,1.0527084,331.18396,99.99996,3.0011652,1.2883886,330.0662,1643.7689,1.0906972,335.81064,1641.0659,1.9072978,16.398142,0.59218955,0.02014558,0.12785493,0.25980997,0.095667236,0.7443352,0.15999758,0.0,0.81971043,0.016353816,0.16393572,0.0,0.19739975,0.74052364,0.062076602,0.0,93.9115,100.0,100.00002,99.99998,100.00001,46.263374,89.131996,61.234978,53.339382,91.417305,355.71417,50.0,17.785707,28.87112,0.6151808,44.507935,0.44071046,10.86989,66.04409,6.9387145,11.511347,3.290903,3.3154402,12.187018,3.3512635,0.7014327,0.009652561,0.0024565237,0.0046210405,1.9241574,2.558617,58.0065,58.866184,59.833996,60.885918,61.90838
7,--,50.0,2.62203,0.861928,0.901644,83.2021,2.52702,0.85532,74.572,1.29272,0.462497,60.515,1.64606,1.01171,1.3377918,347.72147,85.53346,23.987724,1.0,1.2927203,345.6854,34.874134,19.226282,1.3583223,356.35208,90.16446,2.3230767,1.3078597,340.04382,100.0,6.9157495,1.8279643,333.665,1681.2742,1.6460638,341.41766,1680.0594,2.3230765,23.987576,0.14716612,0.0054308716,0.03985729,0.8075457,0.123087116,0.7832731,0.0936398,0.0,0.6349311,0.0073022153,0.35776672,0.0,0.15945187,0.5981663,0.24238183,0.0,100.00001,100.0,100.0,100.0,100.0,63.304123,32.68773,23.254395,25.092756,34.932053,356.95877,50.0,17.847939,28.901182,0.6177585,31.542522,0.1633924,20.624483,21.875732,2.3429163,2.9280093,2.4561255,2.0672905,1.9591824,2.2998185,4.9709115,0.008415653,0.002792897,0.0039406097,2.436671,1.5501052,65.581795,67.73024,69.70828,71.16419,72.51139
8,--,50.0,1.7666,0.983519,0.982013,67.6825,3.68956,0.545865,63.2362,1.99067,0.47741,55.1141,2.80439,0.925964,2.0321774,336.38602,54.586853,31.004932,1.0,1.9906704,334.7937,42.05949,28.6468,1.8674074,340.8332,98.19901,0.9684732,1.8432882,330.2667,100.0,2.9696155,3.0140138,328.2641,1699.739,2.8043873,334.96683,1696.8577,0.9684763,31.004871,0.29477125,0.002895205,0.031057755,0.6712758,0.15448931,0.80034965,0.045161054,0.0,0.85066724,0.0010234201,0.14830935,0.0,0.19738741,0.7404773,0.062135283,0.0,100.0,100.0,100.0,99.999916,100.0,35.22237,22.914623,22.950308,30.671444,41.900604,362.9285,50.0,18.146425,28.970383,0.62661296,33.14802,0.25018218,22.136597,25.120502,2.4506884,3.27319,2.7696931,2.2984679,1.957596,1.9391859,2.5618882,0.010409521,0.0031654432,0.0055629746,3.619083,1.5329881,56.873672,57.620552,58.75318,60.03854,61.532875
9,--,50.0,3.25999,0.964053,0.681526,70.089,3.98321,0.919249,68.8771,2.3919,0.439399,79.3712,2.60978,1.2958,2.4481883,342.0219,91.94065,34.61006,1.0,2.3919013,346.3755,99.56653,34.845272,3.1183922,343.23932,68.15189,1.5509717,3.0994241,348.68008,88.40793,1.4960036,2.7763615,352.52118,1640.807,2.6097877,345.12332,1648.7827,1.550975,34.608116,0.88097197,0.0062527247,0.11277529,0.0,0.1312999,0.67326087,0.14206499,0.053374268,0.9290568,0.0024871242,0.06845603,0.0,0.18697786,0.70142704,0.1115951,0.0,94.355965,98.49589,98.70088,98.71467,85.70491,83.18287,99.22905,100.00002,100.000015,100.000015,393.71643,50.0,19.685822,30.48121,0.6455748,17.111134,0.71821564,4.691055,96.2476,12.514972,12.376899,13.711347,13.745901,13.756438,8.933696,0.16525161,0.03166228,0.013760649,0.021446437,3.707256,3.59155,76.255226,75.30134,75.16132,74.51074,73.51381
