"Case","Case_Number","Anode_In_Flow","Anode_In_H2_mole_frac","Anode_In_N2_mole_frac","Anode_In_H2Ovap_mole_frac","Anode_In_H2Oliq_mole_frac","Anode_In_Dew_Temperature","Cathode_In_Flow","Cathode_In_O2_mole_frca","Cathode_In_N2_mole_frac","Cathode_In_H2Ovap_mole_frac","Cathode_In_H2Oliq_mole_frac","Cathode_In_Dew_Temperature","Coolant_In_Flow"
No Unit,No Unit,g/s,fraction,fraction,fraction,fraction,C,g/s,fraction,fraction,fraction,fraction,C,L/min
1,1.0,0.39021367,0.831145,0.05310517,0.115749866,0.0,62.98861,8.311563,0.19227241,0.7212889,0.08643865,0.0,51.83486,65.561485
2,1.0,0.84432304,0.80074036,0.120014325,0.0792453,0.0,58.684258,4.9083652,0.15846612,0.5944683,0.24706557,0.0,70.75155,80.21186
3,1.0,1.0007292,0.7838792,0.14980184,0.06631896,0.0,49.72744,6.4111433,0.20478453,0.7682268,0.026988663,0.0,32.780052,64.2294
4,1.0,0.30550605,0.92512035,0.009811733,0.065067925,0.0,52.72283,5.5580626,0.19467746,0.7303112,0.075011306,0.0,52.003563,75.68068
5,1.0,0.32961896,0.9210054,0.0020845293,0.076910056,0.0,56.070366,7.074258,0.18548942,0.69584334,0.11866726,0.0,56.77166,71.320694
6,1.0,0.54028714,0.770352,0.10171105,0.12793691,0.0,59.806847,4.303194,0.19666514,0.7377678,0.06556706,0.0,41.784325,70.42329
7,1.0,0.32617044,0.902858,0.0021477246,0.094994254,0.0,55.49343,10.17678,0.19011423,0.7131928,0.09669297,0.0,57.740623,65.45763
8,1.0,0.84253407,0.70168126,0.15904865,0.13927008,0.0,70.10845,6.6601305,0.18789995,0.70488614,0.1072139,0.0,61.79476,64.986664
9,1.0,1.0807725,0.877468,0.046450306,0.076081686,0.0,50.98226,9.78137,0.19200003,0.7202672,0.08773279,0.0,55.755577,77.75453
10,1.0,0.26198253,0.9048243,0.009176583,0.0859991,0.0,52.378166,9.954918,0.19930562,0.7476733,0.053021107,0.0,45.720543,75.15675
11,1.0,0.618819,0.84348875,0.04727066,0.10924059,0.0,56.499565,11.995612,0.16571118,0.6216474,0.21264139,0.0,65.58495,71.0162
12,1.0,0.37842065,0.8917064,0.029458247,0.07883537,0.0,52.126457,12.002579,0.19586945,0.7347829,0.06934768,0.0,50.26757,69.80145
13,1.0,0.63362443,0.7961694,0.023900114,0.1799305,0.0,67.14358,17.15186,0.17332824,0.65022194,0.17644982,0.0,64.985466,79.07986
14,1.0,0.8491157,0.87846357,0.035719197,0.08581721,0.0,58.585808,9.211013,0.19079447,0.7157446,0.09346091,0.0,57.455193,68.932144
15,1.0,2.2345445,0.6224625,0.21734321,0.1601943,0.0,61.64843,7.8496313,0.1744777,0.65453404,0.17098826,0.0,64.99084,62.71745
16,1.0,0.5287803,0.839557,0.09744591,0.0629971,0.0,49.455315,14.042375,0.14915265,0.5595299,0.29131743,0.0,72.990135,69.91839
17,1.0,2.0715098,0.65995836,0.16832964,0.17171201,0.0,65.746574,10.369255,0.18489109,0.69359875,0.12151018,0.0,50.535942,65.793884
18,1.0,1.5503635,0.8128746,0.08582095,0.10130446,0.0,62.623405,5.110633,0.19302343,0.7241063,0.082870275,0.0,55.4634,68.29181
19,1.0,0.5493536,0.8662027,0.092323266,0.041474007,0.0,45.56304,5.78575,0.19524021,0.73242235,0.072337456,0.0,52.71038,72.24885
20,1.0,0.8086684,0.73004514,0.17527601,0.09467888,0.0,61.044243,5.9208713,0.17093354,0.6412386,0.18782789,0.0,64.30529,66.97061
21,1.0,1.1474202,0.6821218,0.20938732,0.10849087,0.0,54.54882,15.69296,0.18328966,0.6875912,0.12911917,0.0,51.567833,74.05736
22,1.0,0.31972787,0.8499427,0.0121902395,0.13786706,0.0,63.488976,6.410636,0.20010802,0.7506834,0.049208544,0.0,41.833794,78.22903
23,1.0,0.88565296,0.8453828,0.0079339845,0.14668322,0.0,63.839012,13.044226,0.19622298,0.7361091,0.06766793,0.0,52.540062,61.83394
24,1.0,0.49104518,0.8486615,0.10002098,0.051317517,0.0,47.41903,8.477541,0.20054503,0.7523228,0.04713217,0.0,44.43734,73.22849
25,1.0,0.44485635,0.83872443,0.026443508,0.13483205,0.0,59.73443,4.8945584,0.19670507,0.7379176,0.06537731,0.0,44.458244,79.60744
