"Case","Steady_State","Anode_Out_Flow","Anode_Out_H2_mole_frac","Anode_Out_N2_mole_frac","Anode_Out_H2Ovap_mole_frac","Anode_Out_H2Oliq_mole_frac","Anode_Out_RH","Anode_Out_Temperature","Anode_Out_Dew_Temperature","Anode_In_Pressure","Anode_Lambda","Cathode_Out_Flow","Cathode_Out_O2_mole_frac","Cathode_Out_N2_mole_frac","Cathode_Out_H2Ovap_mole_frac","Cathode_Out_H2Oliq_mole_frac","Cathode_Out_RH","Cathode_Out_Temperature","Cathode_Out_Dew_Temperature","Cathode_In_Pressure","Cathode_Lambda","Coolant_Out_Flow","Coolant_Out_Temperature","Coolant_In_Pressure","Membrane_Humidity","Membrane_Water_Content_Average","Hydrogen_Crossover","Oxygen_Crossover","Nitrogen_Crossover","Water_Crossover","Voltage","Voltage_Loss_Activation","Voltage_Loss_Transport","Voltage_Loss_Ohmic","Electrical_Power","Fuel_Power","Fuel_Efficiency"
No Unit,No Unit,g/s,fraction,fraction,fraction,fraction,fraction,C,C,bar,No Unit,g/s,fraction,fraction,fraction,fraction,fraction,C,C,bar,No Unit,L/min,C,bar,fraction,No Unit,g/s,g/s,g/s,g/s,V,V,V,V,kW,kW,fraction
1,0.0,0.88596827,0.24972689,0.077530585,0.0429318,0.62981075,1.0000008,63.004692,63.004692,2.0130408,1.2402939,7.4304976,0.12121656,0.7920595,0.08672397,7.183323E-11,0.58007836,66.56344,54.614037,1.5897801,2.3084397,65.685585,66.46624,2.4775665,0.34556076,3.591472,0.0045009237,0.035686214,0.009080449,0.95034164,385.38675,20.434252,0.12679899,6.9485464,7.707735,11.953813,0.644951
2,0.0,2.1401777,0.34838265,0.100733,0.032339778,0.51854455,1.0,54.853355,54.853355,2.3901722,2.1036842,3.4212048,0.036170717,0.82961965,0.13420895,6.9174666E-7,0.880082,59.71084,56.59429,1.3117775,1.2036434,80.35641,61.142723,1.422567,0.52846265,5.408174,0.0047046584,0.03730155,0.0071572023,1.5081499,367.84668,39.733852,0.17984499,7.8478947,7.3569336,11.978249,0.6141674
3,0.0,1.4824557,0.4925837,0.17109482,0.057469755,0.27885172,1.0000001,53.013542,53.013542,1.839442,2.280413,5.815211,0.0982891,0.79635704,0.10535385,0.0,0.8943665,61.64428,59.404198,1.843278,1.8721775,64.38237,62.693382,1.4972897,0.5060597,4.576911,0.0037326727,0.029595025,0.010098498,0.6178122,383.59464,26.621246,0.14131717,6.173263,7.6718926,11.861669,0.6477014
4,0.0,0.9469991,0.4159838,0.020470852,0.04191341,0.52163196,1.0,59.305107,59.305107,2.2155738,1.7062134,4.786502,0.07628815,0.8095874,0.11386974,2.5469819E-4,0.8837631,63.44741,60.98635,1.849152,1.5526962,75.82051,63.96319,2.6114764,0.43290612,4.316861,0.0049829865,0.039508317,0.012016306,0.8185727,384.27902,24.664764,0.15501425,7.4070826,7.6855803,12.011631,0.6400783
5,0.0,0.9700291,0.44467393,0.008772041,0.046301715,0.5002523,1.0,60.433983,60.433983,2.205163,1.8394938,5.8789983,0.0975632,0.7677949,0.1344687,1.7315813E-4,0.8388443,64.30703,60.746727,1.4740125,1.9172277,71.457375,64.89132,1.5704145,0.44951004,4.1442766,0.005010886,0.039729524,0.009519389,1.1486512,383.9569,25.40813,0.12385524,6.487172,7.679138,12.014977,0.64038783
6,0.0,0.9473179,0.2226103,0.13837291,0.07515912,0.5638577,1.0000007,65.862785,65.862816,1.5467237,1.2290611,4.075959,0.037400734,0.77712643,0.18547283,0.0,0.7831277,68.1249,62.51882,1.2464927,1.2241772,70.50067,67.9049,1.3990624,0.54244006,5.2597384,0.003591847,0.02847847,0.008483111,0.41616896,370.34073,29.258991,0.2381833,7.1039753,7.4068146,11.844778,0.6236239
7,1.0,0.72355485,0.45346922,0.034761388,0.09157244,0.42019695,0.99999964,66.64144,66.64144,1.7389861,1.597399,9.774847,0.121570095,0.7130561,0.16507472,2.9909675E-4,0.9987845,69.78454,69.75109,1.8848404,2.7655222,65.56638,67.64974,2.3219843,0.70223165,8.092404,0.006214684,0.049274005,0.017358882,0.45123106,395.25327,14.208111,0.15655492,3.7789226,7.905065,12.159361,0.65020066
8,0.0,1.7705417,0.20390609,0.15343647,0.048842374,0.5938151,0.9999993,66.29394,66.29394,2.2535422,1.4035959,4.8734756,0.09485588,0.79301065,0.11213346,1.6955152E-14,0.791481,69.0653,63.479393,2.048271,1.8189206,65.086914,68.33285,2.1300817,0.32892087,3.2027707,0.0051108836,0.04052237,0.012277386,1.5507987,389.20596,14.881343,0.08288583,7.303417,7.784119,12.026972,0.6486475
9,0.0,1.6980742,0.6850045,0.049777314,0.11237236,0.15284584,0.99999994,62.35885,62.35885,1.7217453,4.2503905,9.207428,0.12702218,0.75652426,0.11645356,0.0,0.86718076,64.8803,61.87789,1.9050311,2.6691341,77.835945,65.73293,1.9711616,0.6789883,6.726103,0.0051517044,0.04084602,0.015172047,0.6383599,393.019,17.733294,0.11729713,4.208722,7.8603806,12.031867,0.65498763
10,0.0,0.23821868,0.5398254,0.05758138,0.13908519,0.26350805,0.99999976,70.07714,70.07714,1.6459591,1.2600999,10.124678,0.11747517,0.6861269,0.19639796,0.0,0.9642234,74.20843,73.36901,1.8842137,2.7865887,75.160385,72.559654,2.552545,0.754366,7.7957907,0.006304513,0.04998623,0.019719558,-0.10013908,397.1465,9.608524,0.10039958,3.4590135,7.94293,12.1701355,0.65264326
11,1.0,1.6410373,0.39774302,0.046507534,0.098775975,0.45697346,1.0000004,67.78332,67.78332,1.5820903,2.1185725,10.913843,0.121615,0.6801841,0.19820088,0.0,0.77389175,69.807,63.581932,1.2332084,3.0378997,71.13628,67.500084,1.6395833,0.5881914,4.757512,0.0041589993,0.03297522,0.00862561,1.1509926,385.94598,19.905447,0.11611834,4.6580944,7.7189198,11.912803,0.6480727
12,1.0,0.6490199,0.50808716,0.058200665,0.08591036,0.34780183,0.99999946,63.072655,63.072624,1.7712504,1.6669544,11.684271,0.13572481,0.72470653,0.13956867,0.0,0.8532644,68.37029,64.54116,1.8101689,3.361592,69.97527,66.17956,2.5102825,0.63070357,5.765604,0.005107264,0.04049367,0.013919601,0.3500502,393.8984,16.586163,0.12494072,4.295953,7.8779683,12.026537,0.65527195
13,1.0,1.5926933,0.32792607,0.03076272,0.07800763,0.5633036,1.0000006,66.9432,66.94323,1.5547945,1.8551935,16.095001,0.14284103,0.68988764,0.16727132,0.0,0.7720666,69.58843,63.362907,1.4479316,4.4754357,79.2477,67.01806,2.3420432,0.56079656,4.4644456,0.0041955817,0.033265267,0.010323771,1.111504,389.9309,16.950502,0.11253846,4.811146,7.798618,11.91719,0.65457183
