"Case","DOE Experiment Number","Current","Anode_Stoichiometry_Set","Anode_In_H2_dry_mass_frac","Anode_In_RH","Anode_In_Temperature","Anode_Out_Pressure","Cathode_Stoichiometry_Set","Cathode_In_RH","Cathode_In_Temperature","Cathode_Out_Pressure","Coolant_In_Factor","Coolant_In_Temperature","Coolant_Out_Pressure"
No Unit,No Unit,A,No Unit,fraction,fraction,C,bar,No Unit,fraction,C,bar,L/min,C,bar
1,1.0,20.0,1.37252,0.529361,0.877546,65.8781,2.00693,2.44206,0.507504,66.344,1.57667,-4.66699,60.1431,2.36021
2,2.0,20.0,2.28357,0.324093,0.71055,65.971,2.37944,1.29879,0.851408,74.2442,1.3044,9.98068,52.0664,1.25145
3,3.0,20.0,2.42181,0.273287,0.615947,59.8237,1.82861,1.95023,0.329221,53.6373,1.83506,-6.00187,50.5116,1.36809
4,4.0,20.0,1.87,0.8714,0.491715,68.3369,2.20839,1.64341,0.515998,66.1702,1.84222,5.45317,56.1519,2.46178
5,5.0,20.0,2.03488,0.969468,0.762392,62.0478,2.1981,2.03829,0.75116,62.9751,1.46308,1.08983,57.4201,1.43453
6,6.0,20.0,1.37851,0.352461,0.679484,68.1663,1.54081,1.28025,0.332945,64.0964,1.23797,0.191935,64.6549,1.27602
7,7.0,20.0,1.84129,0.96796,0.496079,71.3026,1.73384,2.96617,0.553483,71.0729,1.87054,-4.77127,61.2436,2.21187
8,8.0,20.0,1.53748,0.24073,0.955457,71.0157,2.2448,1.92902,0.842802,65.4379,2.0407,-5.24274,64.5794,2.01981
9,9.0,20.0,4.6979,0.575837,0.518484,64.7262,1.70266,2.8704,0.910166,57.9245,1.89191,7.52518,61.5193,1.82414
10,10.0,20.0,1.45937,0.876331,0.678661,60.8154,1.64268,2.98147,0.350736,67.5945,1.86895,4.92944,75.2675,2.43207
11,11.0,20.0,2.34057,0.561858,0.726445,63.4235,1.57157,3.25139,0.708926,73.5803,1.2082,0.785555,60.1042,1.51769
12,12.0,20.0,1.84749,0.685079,0.784105,57.1921,1.76589,3.55819,0.619097,60.2992,1.79264,-0.426752,55.7407,2.38406
13,13.0,20.0,2.12152,0.705365,0.761081,73.4376,1.5459,4.74325,0.821938,69.9055,1.4163,8.85173,57.9627,2.19959
14,14.0,20.0,3.77807,0.638656,0.619289,69.3512,2.18346,2.68859,0.738801,63.9527,1.91563,-1.29905,73.5903,1.334
15,15.0,20.0,3.00359,0.17069,0.526846,76.2848,1.33834,2.18564,0.950504,66.1582,1.47943,-7.51215,69.8394,1.97434
16,16.0,20.0,1.72778,0.3824,0.558385,61.4561,1.90113,3.58903,0.972392,73.6211,1.21134,-0.312925,54.0302,1.2993
17,17.0,20.0,3.31716,0.219823,0.894068,68.5275,1.5214,2.98878,0.580921,61.7955,1.02186,-4.437,46.8348,1.52392
18,18.0,20.0,4.6786,0.405009,0.687213,71.3092,2.24232,1.50353,0.944397,56.7408,1.98453,-1.9397,55.8021,1.24058
19,19.0,20.0,2.01028,0.402724,0.412296,63.6278,2.38063,1.71205,0.743531,59.2554,1.98411,2.02071,65.2756,2.29447
20,20.0,20.0,1.5787,0.230373,0.555893,74.194,2.22164,1.63259,0.707851,72.3567,1.30788,-3.25906,71.63,1.86666
21,21.0,20.0,1.85091,0.189705,0.508638,69.8919,1.44746,4.50012,0.514839,65.6534,1.00614,3.82618,43.2805,1.33524
22,22.0,20.0,1.36537,0.833631,0.844301,67.3993,1.72444,1.92571,0.543696,53.5853,1.65588,8.0,60.6045,1.92012
23,23.0,20.0,3.74915,0.884493,0.704823,71.9929,1.63744,3.87143,0.517695,66.7905,2.09494,-8.39551,43.6291,2.15217
24,24.0,20.0,1.65047,0.378794,0.606635,57.4607,2.12374,2.5484,0.683718,51.7338,1.97081,2.99914,68.2588,1.88004
25,25.0,20.0,1.73931,0.695068,0.992215,59.9382,1.45304,1.45738,0.553642,55.988,1.42342,9.37846,43.173,1.95989
26,26.0,20.0,4.1781,0.871011,0.606524,70.9885,2.17421,1.58733,0.95276,76.5307,1.07131,5.40756,55.4083,1.8762
27,27.0,20.0,2.1595,0.854092,0.559253,72.119,1.37569,5.37803,0.430716,75.452,1.88532,-9.66436,54.4459,1.69298
28,28.0,20.0,1.31483,0.724729,0.398053,61.6536,1.95013,3.01446,0.965911,69.5077,1.42806,3.6855,53.0051,2.14312
29,29.0,20.0,3.66305,0.233487,0.479724,65.0035,1.64552,5.48858,0.972598,69.372,1.62267,-4.78805,66.1664,1.2483
30,30.0,20.0,3.30968,0.441357,0.744284,66.9116,1.77227,3.76971,0.544605,63.6131,1.02235,0.671732,51.3803,2.29349
31,31.0,20.0,1.43854,0.858029,0.484915,60.2504,2.08404,2.70645,0.891737,67.8815,1.823,0.603056,71.6982,1.76103
32,32.0,20.0,3.40537,0.812759,0.946766,68.7389,1.85732,1.22497,0.493402,60.7498,1.06681,8.12272,78.3271,1.68695
33,33.0,20.0,3.69483,0.153653,0.465533,52.3465,2.30073,3.11728,0.559828,73.6209,1.18086,-6.7281,53.9772,2.049
34,34.0,20.0,1.23605,0.406737,0.573598,64.0684,2.04789,1.65417,0.970167,66.5626,1.30304,4.00015,50.1557,2.32249
35,35.0,20.0,1.70086,0.439917,0.456917,75.7254,1.28133,2.93358,0.556409,69.9461,1.96077,1.40608,63.4634,1.92473
36,36.0,20.0,2.75724,0.942317,0.619689,73.7442,1.73443,4.28661,0.803737,60.6392,1.754,0.294959,53.7063,1.41176
37,37.0,20.0,2.04783,0.513339,0.668284,52.5369,2.23688,5.3609,0.85837,65.0849,1.72387,4.89632,40.6004,1.71914
38,38.0,20.0,1.42867,0.674856,0.623701,70.0334,1.50155,2.18343,0.973028,66.6522,1.78579,-4.40984,60.6457,2.36418
39,39.0,20.0,3.22623,0.560722,0.556576,60.1102,1.50331,2.29902,0.400564,55.4329,1.93729,4.0083,60.7346,2.10595
40,40.0,20.0,1.92145,0.344919,0.724074,70.6935,1.32139,1.74074,0.584583,66.4982,1.45757,-7.6332,59.3076,1.81906
41,41.0,20.0,1.16881,0.583229,0.738488,60.8379,2.13919,3.93352,0.563304,68.5552,1.12492,-3.59694,58.2916,1.63259
42,42.0,20.0,1.31737,0.938737,0.879263,70.6182,1.74694,2.91718,0.900341,67.4041,1.37032,-3.63641,65.1324,2.46989
43,43.0,20.0,1.65981,0.321868,0.809162,65.1615,2.34183,2.47203,0.941533,73.2513,1.71571,-4.5053,66.9317,1.89997
44,44.0,20.0,2.08935,0.950345,0.930793,71.8733,2.18878,4.35787,0.971492,54.5868,1.92013,7.79537,75.6358,1.30351
45,45.0,20.0,1.81623,0.592098,0.741537,56.5701,1.81566,3.26163,0.372076,59.4867,1.18345,4.64703,68.8556,2.17222
46,46.0,20.0,3.06785,0.699754,0.708399,73.0928,1.98257,3.54688,0.997374,73.4709,1.73534,4.42875,48.6031,1.44313
47,47.0,20.0,1.41437,0.687669,0.425204,71.0664,2.14543,2.58548,0.333563,59.602,2.14028,-6.55699,73.437,1.60051
48,48.0,20.0,1.71345,0.747239,0.971475,62.5196,2.07361,1.72305,0.543986,66.978,1.25196,-9.93386,76.4915,1.94994
49,49.0,20.0,2.64708,0.16643,0.562923,70.2605,2.28701,2.18242,0.739657,77.2387,1.15322,7.97587,66.9204,2.52333
50,50.0,20.0,2.13026,0.706535,0.425092,67.7132,1.22775,3.58539,0.834134,66.5628,1.09135,-3.26692,68.4199,2.16322
51,51.0,20.0,4.57408,0.262501,0.416243,68.7626,2.21109,3.26263,0.498029,69.8914,1.91864,-5.02238,57.8542,1.86752
52,52.0,20.0,2.03191,0.388056,0.386236,62.7574,1.20134,4.46313,0.949445,66.8031,1.69294,-3.90422,54.8886,2.48703
53,53.0,20.0,3.52858,0.789638,0.673354,61.392,1.47999,4.95185,0.55207,64.4637,1.1341,-9.01353,58.8428,1.51586
