Massenstrom,Druckverhaeltnis,Efficiency
0.01745,2.4973,0.399
0.01862,2.50811,0.399
0.01971,2.4973,0.436
0.02079,2.4973,0.473
0.022,2.5027,0.473
0.023,2.44865,0.51
0.02399,2.41622,0.547
0.02547,2.33514,0.547
0.02625,2.23243,0.547
0.02742,2.09189,0.51
0.0285,1.8973,0.473
0.02963,1.62703,0.399
0.02127,2.85405,0.436
0.02261,2.85405,0.473
0.0236,2.85405,0.51
0.02469,2.85405,0.51
0.02581,2.84324,0.547
0.02685,2.8,0.584
0.02798,2.73514,0.584
0.02911,2.63243,0.584
0.03019,2.49189,0.584
0.0314,2.31351,0.547
0.0324,2.09189,0.473
0.03353,1.70811,0.399
0.0249,3.28649,0.51
0.02607,3.29189,0.51
0.02716,3.3027,0.547
0.02841,3.3027,0.584
0.02919,3.26486,0.584
0.03032,3.24324,0.621
0.03149,3.16216,0.621
0.03257,3.05946,0.621
0.03379,2.91351,0.621
0.03483,2.71351,0.584
0.03595,2.47568,0.547
0.03699,2.11892,0.436
0.02902,3.80541,0.51
0.03002,3.82703,0.584
0.03106,3.83784,0.584
0.03223,3.82703,0.621
0.03335,3.81081,0.658
0.03457,3.75135,0.658
0.03574,3.63784,0.658
0.03682,3.51892,0.658
0.03799,3.34595,0.658
0.03925,3.0973,0.621
0.04029,2.78378,0.547
0.04146,2.28108,0.436
0.03296,4.42162,0.621
0.03418,4.44865,0.621
0.03535,4.44865,0.658
0.03669,4.44324,0.658
0.03777,4.41622,0.695
0.03903,4.33514,0.695
0.04011,4.22162,0.695
0.04133,4.05405,0.695
0.0425,3.82162,0.658
0.04367,3.54054,0.621
0.04484,3.16757,0.584
0.04592,2.64865,0.473
0.03725,5.13514,0.658
0.03829,5.16757,0.658
0.03946,5.16757,0.695
0.04072,5.14054,0.695
0.04202,5.12432,0.732
0.04336,5,0.732
0.04458,4.85405,0.732
0.04575,4.66486,0.695
0.04722,4.36216,0.695
0.04847,4.00541,0.658
0.04969,3.62162,0.621
0.0509,3.02162,0.51
0.04141,5.94595,0.695
0.04258,5.98919,0.695
0.04362,5.98378,0.695
0.04475,5.97297,0.732
0.04575,5.95676,0.732
0.04687,5.88649,0.769
0.04808,5.74595,0.732
0.04912,5.58919,0.732
0.05021,5.43784,0.732
0.05133,5.20541,0.695
0.05242,4.91892,0.695
0.05285,4.43243,0.658
0.05298,4.0973,0.621
0.05333,3.67568,0.584
0.04566,6.85405,0.695
0.04618,6.87027,0.695
0.04687,6.87568,0.732
0.04778,6.88108,0.732
0.0486,6.86486,0.732
0.04956,6.83784,0.732
0.05042,6.81081,0.732
0.05125,6.76757,0.732
0.05224,6.67027,0.732
0.0532,6.4973,0.732
0.05415,6.36216,0.732
0.05502,6.18919,0.732
0.05528,3.9027,0.547

