corrected_massflow_g_s,pressure_ratio,efficiency
48.165049732,1.0923744308,0.345
44.492753656000005,1.1110344942000001,0.33
38.197388944000004,1.1112542406,0.32
29.278955596,1.1115655460999998,0.309
20.360522248000002,1.1118768534999999,0.24
10.91747518,1.1122064711999997,0.193
75.96957722799999,1.2767226832,0.505
60.23116543600001,1.2958039272,0.499
45.017367375999996,1.3056009180999997,0.475
32.426637952,1.3153063498999997,0.437
20.885135968,1.3249751573,0.367
11.4420889,1.3253047749999998,0.317
106.921787068,1.5258226429999997,0.586
90.134147836,1.5542064504000002,0.588
76.494190948,1.5732144456000001,0.571
52.88657327200001,1.5925703706999998,0.522
39.24661639599999,1.593046486,0.445
26.13127324,1.593504291,0.429
137.3493832,1.8398024937000002,0.641
117.93867532,1.9146075609,0.643
101.151036076,1.9337254273999998,0.646
87.5110792,1.9434674836,0.629
67.5757576,1.9441633453,0.589
47.11582228,1.9448775173000001,0.497
164.39849648,2.2480146,0.655
146.03701604,2.2860145999999997,0.67
130.29860432,2.3620146,0.674
101.96946309200001,2.4000146,0.672
75.21416305999999,2.4190145999999997,0.646
60.000365,2.4000146,0.556
183.704507747,2.763997585426544,0.657
161.670731267,2.8203623331000003,0.673
144.883091987,2.9136077211,0.688
120.22624678700001,2.9978618492999995,0.695
95.56940170700001,2.9894565798999997,0.69
74.060238935,2.9624095574,0.644
187.56502838749995,3.3001768703999996,0.679
158.71127342749998,3.4772368937999993,0.69
138.25133810749998,3.5798764042999993,0.704
122.51292638749999,3.6545532880000002,0.716
106.77451454749999,3.6736345319999995,0.701
92.08533026749998,3.6834132106999995,0.682
201.03263445750008,3.9198045492999998,0.675
188.44190493750006,4.133360656200001,0.68
175.32656181749996,4.2450097368,0.698
154.34201277750003,4.3754653803,0.72
135.4559186175,4.4502521352999995,0.713
112.8975284175,4.5159011367,0.692
211.13604121500003,4.2807000873,0.668
202.21760785500004,4.457064249,0.68
193.299174495,4.5870987138,0.695
178.60999021499998,4.763664309699999,0.719
150.280848975,4.894376322099999,0.712
125.624003775,5.024960151,0.701
