corrected_massflow_g_s,pressure_ratio,efficiency
41.95712061,1.101768332,0.345
38.89687388,1.111589418,0.33
33.65073662,1.111705074,0.32
26.21870883,1.111868919,0.309
18.78668104,1.112032765,0.24
10.91747515,1.112206248,0.193
65.12756019,1.198793728,0.505
52.01221703,1.208836488,0.499
39.33405198,1.213992799,0.475
28.84177746,1.219100921,0.437
19.22385914,1.224189767,0.367
11.35465325,1.22436325,0.317
90.92106839,1.32989897,0.586
76.93136903,1.344837816,0.588
65.56473829,1.354842024,0.571
45.89172356,1.365029353,0.522
34.52509283,1.36527994,0.445
23.5956402,1.36552089,0.429
116.2773985,1.495151523,0.641
100.1018086,1.534522611,0.643
86.11210923,1.544584646,0.646
74.7454785,1.549712044,0.629
58.1327105,1.550078287,0.589
41.0827644,1.550454167,0.497
144.6939753,1.71,0.655
129.3927416,1.73,0.67
116.2773985,1.77,0.674
92.66978081,1.79,0.672
70.37369745,1.8,0.646
57.6955324,1.79,0.556
173.5477303,1.98156999232976,0.657
155.1862499,2.011235649,0.673
141.1965505,2.060312169,0.688
120.6491795,2.104656447,0.695
100.1018086,2.100232621,0.69
82.17750629,2.085997346,0.644
203.2758414,2.263769616,0.679
179.2310456,2.356959102,0.69
162.1810995,2.410979897,0.704
149.0657564,2.45028352,0.716
135.9504132,2.46032628,0.701
123.7094263,2.465472953,0.682
231.6924183,2.589889447,0.675
221.2001437,2.702287398,0.68
210.2706911,2.761050072,0.698
192.7835669,2.829710937,0.72
177.0451551,2.869072387,0.713
158.2464966,2.903624493,0.692
243.059049,2.779834467,0.668
235.6270212,2.87265771,0.68
228.1949934,2.941096902,0.695
215.9540065,3.034026163,0.719
192.3463888,3.102821959,0.712
171.7990178,3.17155029,0.701
