idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f),converged (t/f)
100,80.0,500,30,223.5777,63.1182,1.6,3.2985,60.0002,65.7061,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.1679,0.797,79.99,11.63,2.72,0.07,0.13,89.1,True,False,True
101,80.0,500,30,242.0258,62.5546,1.6,3.2994,60.0171,66.4124,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2642,0.7427,79.99,12.63,2.98,0.08,0.16,89.88,True,True,True
102,80.0,500,60,225.6464,61.4936,1.6001,3.2997,60.0029,65.6795,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.1787,0.7965,79.99,12.69,3.03,0.08,0.14,89.86,True,False,True
103,80.0,500,60,244.7293,61.9729,1.6,3.2949,60.051,66.535,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2784,0.7412,79.99,13.79,3.34,0.08,0.16,90.69,True,True,True
104,80.0,500,90,227.8066,61.9506,1.6,3.2993,60.0267,65.6264,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.19,0.7958,79.99,13.79,3.35,0.08,0.15,90.65,True,False,True
105,80.0,500,90,247.5345,63.4458,1.6,3.2991,60.0011,66.5472,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.293,0.7399,79.99,15.03,3.69,0.09,0.16,91.57,True,True,True
106,80.0,500,120,230.0629,62.9384,1.6,3.2973,60.0032,65.7688,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2018,0.7949,79.99,14.92,3.69,0.08,0.14,91.44,True,False,True
107,80.0,500,120,250.5078,63.0349,1.6,3.2999,60.0021,66.6761,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3086,0.7383,79.99,16.3,4.06,0.09,0.16,92.48,True,True,True
108,80.0,500,150,232.4085,63.5379,1.6,3.3,60.0159,65.6804,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.214,0.7943,79.99,16.1,4.02,0.08,0.15,92.31,True,False,True
109,80.0,500,150,253.6327,62.4452,1.6,3.2965,60.0026,66.6744,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3249,0.7367,79.99,17.62,4.44,0.09,0.17,93.42,True,True,True
